PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,Elizabeth Lutz,female,11.4,0,1,221958,276.17,D1,S
2,0,3,Brittany Gomez,female,72.1,3,2,771155,214.89,B1,Q
3,0,1,Edward Potts,female,55.6,1,1,231932,182.69,C1,C
4,1,1,Anthony Petersen,female,55.0,4,3,465838,461.74,,S
5,0,2,Jennifer Harrington,female,66.0,1,1,359178,18.27,D1,C
6,0,2,Cody Tran,male,42.8,3,1,744167,342.52,C1,C
7,0,2,Rose Rodriguez,female,65.4,1,0,210268,493.84,D1,Q
8,1,1,Caitlin Malone,male,40.3,1,1,832180,290.18,D1,C
9,0,3,Victor Barnes,male,6.3,3,0,154886,480.42,,Q
10,1,1,Kaitlyn Vaughan,male,33.0,1,4,237337,33.64,,S
11,0,3,Billy Collins,female,40.3,2,0,621430,218.77,D1,C
12,0,1,Joshua David,female,57.9,2,3,187498,138.65,A1,S
13,0,3,Alan Mclaughlin,female,9.4,1,0,999159,376.37,D1,C
14,1,1,Amy Rodgers,male,12.1,4,4,275203,502.88,D1,S
15,0,2,Tiffany Larson,male,21.8,3,3,291335,136.82,B1,C
16,0,1,Regina Irwin,male,22.1,2,2,378167,337.66,B1,C
17,1,3,Jason Mcintosh,male,58.8,4,2,141090,107.31,B1,C
18,0,1,Mary Martin,male,20.8,1,0,429365,292.79,A1,C
19,1,1,Robert Ballard MD,male,51.0,4,0,164820,241.57,A1,C
20,1,1,Holly Bradshaw,female,40.0,0,4,887201,498.19,D1,C
21,0,2,Dan Hall,female,46.3,2,4,421879,314.6,B1,C
22,1,1,Timothy Newton,female,67.2,1,1,818315,183.78,A1,C
23,0,2,Olivia Carter,female,32.9,3,4,427069,64.88,,C
24,1,2,Lori Robinson,male,61.9,1,1,876997,83.64,D1,S
25,1,1,Brianna Wallace,male,34.3,3,3,299041,121.05,C1,Q
26,0,1,Robert Cox,female,29.0,1,0,891743,134.01,D1,C
27,1,1,Jacob West,male,76.7,4,3,203355,436.88,C1,Q
28,1,3,Jessica Patterson,female,15.6,4,4,335796,290.71,B1,C
29,1,1,Ellen Winters,female,8.1,4,3,314176,271.6,C1,C
30,1,2,Jessica Johnson,female,61.9,0,3,284779,65.22,B1,S
31,1,1,Renee Rivera,male,6.4,3,3,447449,441.69,,S
32,0,3,Kelly Watson,female,67.1,4,4,521909,372.33,C1,Q
33,1,1,Christopher Robinson,female,35.5,0,3,358795,41.43,D1,S
34,0,3,Kelsey Pennington,female,73.3,3,1,586232,364.76,B1,S
35,1,3,Lindsey Thompson,male,58.0,1,4,600186,281.78,D1,Q
36,0,1,Jennifer Allen,male,49.2,0,3,256730,48.53,A1,S
37,0,2,Erin Johnson,female,76.0,2,4,970910,238.73,B1,C
38,1,3,Kaitlyn Valenzuela,male,32.3,0,2,484681,252.06,C1,Q
39,1,1,Erica Howard,male,76.4,0,1,249503,90.98,B1,Q
40,1,1,Kimberly Robertson,male,11.7,3,3,754811,484.9,D1,C
41,0,2,Carl Lozano,male,39.2,1,2,627035,436.56,,S
42,1,3,Erin Rodriguez,male,22.3,2,2,748143,345.16,B1,Q
